"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.718320710E-1,5.344913341E-3,-6.872031838E-3,1.267508045E-2,1.537694978E-2
5.741351440E-1,5.344913341E-3,-8.093725890E-3,1.267508045E-2,1.596039353E-2
5.764382170E-1,5.344913341E-3,-8.093725890E-3,1.145338640E-2,1.500854948E-2
5.787412900E-1,5.344913341E-3,-3.206948051E-3,1.145338640E-2,1.303965775E-2
5.810443630E-1,7.788302377E-3,-7.635590737E-4,1.527118124E-2,1.715953533E-2
5.833474360E-1,1.160609815E-2,2.748812549E-3,1.664558798E-2,2.047762398E-2
5.856505090E-1,9.162709117E-3,5.344913341E-3,2.031067200E-2,2.291389827E-2
5.879535820E-1,9.162709117E-3,4.123218823E-3,2.137965336E-2,2.362299197E-2
5.902566550E-1,7.788302377E-3,4.123218823E-3,2.382304333E-2,2.540070828E-2
5.925597280E-1,9.009997360E-3,4.581354442E-4,2.260134928E-2,2.433538432E-2
5.948628010E-1,1.038440317E-2,1.679830020E-3,2.626643144E-2,2.829457684E-2
5.971658740E-1,1.160609815E-2,4.581354442E-4,2.626643144E-2,2.871997254E-2
5.994689460E-1,1.160609815E-2,-1.832541777E-3,2.504473738E-2,2.766403070E-2
6.017720190E-1,1.160609815E-2,-7.635590737E-4,2.504473738E-2,2.761382638E-2
6.040750920E-1,1.038440317E-2,-3.054236295E-3,2.504473738E-2,2.728375083E-2
6.063781650E-1,1.160609815E-2,-7.635590737E-4,2.504473738E-2,2.761382638E-2
6.086812380E-1,9.009997360E-3,1.832541777E-3,2.748812735E-2,2.898508939E-2
6.109843110E-1,1.038440317E-2,6.108472589E-4,2.748812735E-2,2.939057857E-2
6.132873840E-1,1.038440317E-2,3.054236295E-3,3.008422814E-2,3.197225315E-2
6.155904570E-1,9.009997360E-3,6.108472589E-4,2.870982140E-2,3.009662825E-2
6.178935300E-1,7.788302377E-3,1.832541777E-3,2.748812735E-2,2.862888416E-2
6.201966030E-1,9.009997360E-3,3.054236295E-3,2.993151546E-2,3.140706973E-2
6.224996760E-1,6.566607859E-3,3.054236295E-3,3.237490356E-2,3.317503698E-2
6.248027490E-1,6.566607859E-3,1.832541777E-3,3.237490356E-2,3.308493507E-2
6.271058210E-1,6.566607859E-3,3.054236295E-3,3.481829539E-2,3.556349803E-2
6.294088940E-1,6.566607859E-3,1.985253533E-3,3.726168349E-2,3.788792192E-2
6.317119670E-1,1.023169141E-2,-4.581354442E-4,4.337015375E-2,4.456307478E-2
6.340150400E-1,1.771457121E-2,1.985253533E-3,5.329642445E-2,5.619836407E-2
6.363181130E-1,1.282779220E-2,1.664558798E-2,6.200099736E-2,6.546565150E-2
6.386211860E-1,7.941014133E-3,2.275406010E-2,6.077930331E-2,6.538295395E-2
6.409242590E-1,7.941014133E-3,2.260134928E-2,5.589252338E-2,6.080998984E-2
6.432273320E-1,7.941014133E-3,2.137965336E-2,4.978405312E-2,5.475948528E-2
6.455304050E-1,1.038440317E-2,1.634016447E-2,4.123219103E-2,4.555140372E-2
6.478334780E-1,1.160609815E-2,1.511846948E-2,3.512371704E-2,3.996179591E-2
6.501365510E-1,1.160609815E-2,1.389677543E-2,3.008422814E-2,3.511242892E-2
6.524396240E-1,1.282779220E-2,1.618745178E-2,3.023693897E-2,3.661773240E-2
6.547426960E-1,1.404948719E-2,1.985253580E-2,3.268032894E-2,4.073714726E-2
6.570457690E-1,1.282779220E-2,1.985253580E-2,3.512371704E-2,4.233616574E-2
6.593488420E-1,1.404948719E-2,2.367033064E-2,4.123219103E-2,4.957586328E-2
6.616519150E-1,1.542389300E-2,2.733541466E-2,4.749337584E-2,5.692751636E-2
6.639549880E-1,1.664558798E-2,2.977880463E-2,5.115845799E-2,6.149016693E-2
6.662580610E-1,1.282779220E-2,3.222219273E-2,5.238015205E-2,6.282119297E-2
6.685611340E-1,1.282779220E-2,3.588727489E-2,5.482354015E-2,6.676877494E-2
6.708642070E-1,1.160609815E-2,3.588727489E-2,5.238015205E-2,6.454671442E-2
6.731673320E-1,1.038440317E-2,3.833066672E-2,5.482354015E-2,6.769561577E-2
6.754703530E-1,6.719320081E-3,3.833066672E-2,4.993676394E-2,6.330931738E-2
6.777734260E-1,6.719320081E-3,3.466558084E-2,4.627167806E-2,5.820584118E-2
6.800764990E-1,9.162709117E-3,2.855710872E-2,4.123219103E-2,5.098585366E-2
6.823796240E-1,9.162709117E-3,2.489202656E-2,4.001049697E-2,4.800425078E-2
6.846826960E-1,9.162709117E-3,2.000524849E-2,3.756710514E-2,4.353679587E-2
6.869857690E-1,7.941014133E-3,1.756185852E-2,3.741439432E-2,4.208699897E-2
6.892888420E-1,7.941014133E-3,1.511846948E-2,3.497100621E-2,3.891785067E-2
6.915919150E-1,4.123218823E-3,1.038440317E-2,3.374931216E-2,3.555070793E-2
6.938949360E-1,4.123218823E-3,5.497625098E-3,2.993151546E-2,3.071026592E-2
6.961980610E-1,4.123218823E-3,3.054236295E-3,2.748812735E-2,2.796294759E-2
6.985011340E-1,5.344913341E-3,6.108472589E-4,2.626643144E-2,2.681168875E-2
7.008042070E-1,2.901524538E-3,1.832541777E-3,2.137965336E-2,2.165332843E-2
7.031072800E-1,2.901524538E-3,4.581354442E-4,1.893626526E-2,1.916274706E-2
7.054103530E-1,1.679830020E-3,-1.832541777E-3,1.756185852E-2,1.773693640E-2
7.077134260E-1,-9.162708884E-4,-6.719320081E-3,1.389677543E-2,1.546315563E-2
7.100164990E-1,-9.162708884E-4,-9.162709117E-3,1.007897966E-2,1.365212883E-2
7.123195710E-1,-4.581354558E-3,-1.160609815E-2,8.857285604E-3,1.530169377E-2
7.146226440E-1,-4.581354558E-3,-1.282779220E-2,7.635590620E-3,1.561548291E-2
7.169257170E-1,-7.024743594E-3,-1.404948719E-2,6.413896102E-3,1.696682575E-2
7.192287900E-1,-7.024743594E-3,-1.282779220E-2,6.413896102E-3,1.596988850E-2
7.215318630E-1,-7.177455351E-3,-1.511846948E-2,9.926267900E-3,1.945802609E-2
7.238349360E-1,-5.803049076E-3,-1.527118124E-2,8.857285604E-3,1.858321456E-2
7.261380090E-1,-4.581354558E-3,-1.634016447E-2,1.007897966E-2,1.973766996E-2
7.284410820E-1,-3.359660041E-3,-1.756185852E-2,1.252236869E-2,2.182924433E-2
